#NUM_EXPEDIENTE_PETICAO,DESC_FILA_ANALISE,DESC_SUB_FILA_LISTA_ANALISE,DESC_GRUPO_ETAPA_CICLO_ANALISE,TEMPO
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,15
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
3723131,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,6
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,50
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,1
5422144,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,21
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,55
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,20
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
5698127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,55
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,20
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
5699125,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12
6131060,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,47
6131060,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,21
6131060,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
6131060,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,7
7299041,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,835
7299041,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,247
7299041,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,210
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,21
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,42
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,76
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,7
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,14
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,68
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,15
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,0
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0
7602063,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,12
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,198
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,214
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,95
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,314
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,15
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,0
8291111,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,6
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,171
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,788
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,94
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,5
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,194
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,8
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,118
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,63
9434120,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,33
9850127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,50
9850127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,15
9850127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
9850127,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,12
9866123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,50
9866123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,15
9866123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
9866123,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,12
10808141,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,237
10937051,REGISTRO,Genéricos e Similares,Fila de Análise,3830
10937051,REGISTRO,Genéricos e Similares,Análise em Andamento,14
10937051,REGISTRO,Genéricos e Similares,Exigência,30
10937051,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
10937051,REGISTRO,Genéricos e Similares,Análise em Andamento,82
10937051,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
10937051,REGISTRO,Genéricos e Similares,Exigência,34
10937051,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
10937051,REGISTRO,Genéricos e Similares,Análise em Andamento,16
10937051,REGISTRO,Genéricos e Similares,Finalização,27
10937051,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
10937051,REGISTRO,Genéricos e Similares,Finalização,6
12283081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,50
12283081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,3593
12283081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,25
12610051,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,106
12610051,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,8
12610051,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,15
12610051,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
12610051,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,10
13045171,REGISTRO,Clones,Fila de Análise,14
13045171,REGISTRO,Clones,Finalização,83
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,11
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,20
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Exigência,31
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,21
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,11
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Exigência,44
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,138
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,477
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
13153069,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,8
13157061,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,495
13157061,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,447
13157061,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,13
13348065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,20
13348065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,22
13348065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Análise em Andamento,0
13348065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,8
17942196,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,90
17942196,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,2
17942196,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Análise em Andamento,0
17942196,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,5
18658139,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,96
18658139,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,14
18658139,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
18658139,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,27
21001083,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,50
21001083,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,216
21001083,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,6
26694059,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,162
26694059,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,131
26694059,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,39
26694059,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,0
26694059,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,10
27491117,REGISTRO,Genéricos e Similares,Fila de Análise,2138
29249054,REGISTRO,Específicos,Fila de Análise,69
29249054,REGISTRO,Específicos,Análise em Andamento,1
29249054,REGISTRO,Específicos,Exigência,33
29249054,REGISTRO,Específicos,Análise de Cumprimento de Exigência,0
29249054,REGISTRO,Específicos,Análise em Andamento,3
29249054,REGISTRO,Específicos,Análise de Cumprimento de Exigência,10
29249054,REGISTRO,Específicos,Finalização,42
29379072,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,8
29379072,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,369
29379072,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,7
30328113,RENOVAÇÃO,Fitoterápicos,Fila de Análise,153
30328113,RENOVAÇÃO,Fitoterápicos,Análise em Andamento,1
30328113,RENOVAÇÃO,Fitoterápicos,Finalização,0
30390189,REGISTRO,Genéricos e Similares,Fila de Análise,40
30390189,REGISTRO,Genéricos e Similares,Análise em Andamento,16
30390189,REGISTRO,Genéricos e Similares,Exigência,0
30390189,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
30390189,REGISTRO,Genéricos e Similares,Finalização,130
33216180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Fila de Análise,150
33216180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise em Andamento,1
33216180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Exigência,0
33216180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise de Cumprimento de Exigência,63
33216180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Finalização,0
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,1213
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,7
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Exigência,0
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,39
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,8
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Outras Etapas,0
35223043,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,0
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,1213
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,7
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Exigência,27
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,0
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,60
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,120
35236045,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,6
37032081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,45
37032081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,188
37032081,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,5
38456049,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,85
38456049,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Análise em Andamento,9
38456049,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,5
42335091,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,98
42335091,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,6
43338121,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,14
43338121,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,34
43338121,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
43338121,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,12
46661111,REGISTRO,Genéricos e Similares,Fila de Análise,6
46661111,REGISTRO,Genéricos e Similares,Análise em Andamento,177
46661111,REGISTRO,Genéricos e Similares,Exigência,26
46661111,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
46661111,REGISTRO,Genéricos e Similares,Análise em Andamento,2
46661111,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
46661111,REGISTRO,Genéricos e Similares,Análise em Andamento,97
46661111,REGISTRO,Genéricos e Similares,Finalização,20
49912159,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,45
49912159,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,132
49912159,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,0
49912159,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,5
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Fila de Análise,124
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,5
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Exigência,56
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,1
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,3
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Exigência,10
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,44
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,0
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,0
50116196,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Finalização,0
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Fila de Análise,124
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,5
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Exigência,56
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,1
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,3
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Exigência,10
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,44
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise em Andamento,0
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Análise de Cumprimento de Exigência,0
50156195,ROTULAGEM E NOME COMERCIAL ,Rotulagem e Nome Comercial,Finalização,0
54680247,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,31
55412050,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,272
55412050,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,38
55412050,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,0
55412050,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,10
56720065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,529
56720065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,8
56720065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
56720065,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,6
58136064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,468
58136064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,448
58136064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,12
58728081,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,49
58728081,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,0
58728081,RENOVAÇÃO,"Genéricos, Novos e Similares",Recurso,317
59041180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Fila de Análise,134
59041180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise em Andamento,4
59041180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Exigência,0
59041180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise de Cumprimento de Exigência,0
59041180,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Finalização,50
59897126,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,54
59897126,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,35
59897126,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
59897126,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,5
60209064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,123
60209064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,605
60209064,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,17
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,92
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,4
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Exigência,22
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,134
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise de Cumprimento de Exigência,0
63823044,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,6
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Fila de Análise,234
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise em Andamento,31
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Exigência,6
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise de Cumprimento de Exigência,0
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise em Andamento,90
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise de Cumprimento de Exigência,0
65640182,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Finalização,0
65771059,REGISTRO,Genéricos e Similares,Fila de Análise,1210
65771059,REGISTRO,Genéricos e Similares,Análise em Andamento,195
65771059,REGISTRO,Genéricos e Similares,Finalização,21
65854185,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Fila de Análise,228
65854185,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise em Andamento,10
65854185,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Exigência,119
65854185,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Análise de Cumprimento de Exigência,31
65854185,"Bula, Rotulagem e Nome Comercial","Análise de bula, dizeres de rotulagem e nome comercial",Finalização,0
66315078,REGISTRO,Genéricos e Similares,Fila de Análise,6
66315078,REGISTRO,Genéricos e Similares,Análise em Andamento,238
66315078,REGISTRO,Genéricos e Similares,Exigência,144
66315078,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
66315078,REGISTRO,Genéricos e Similares,Análise em Andamento,207
66315078,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
66315078,REGISTRO,Genéricos e Similares,Finalização,6
66460070,REGISTRO,Genéricos e Similares,Fila de Análise,3
66460070,REGISTRO,Genéricos e Similares,Análise em Andamento,129
66460070,REGISTRO,Genéricos e Similares,Exigência,511
66460070,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
66460070,REGISTRO,Genéricos e Similares,Análise em Andamento,67
66460070,REGISTRO,Genéricos e Similares,Finalização,4
66460070,REGISTRO,Genéricos e Similares,Análise em Andamento,0
66460070,REGISTRO,Genéricos e Similares,Análise de Cumprimento de Exigência,0
66460070,REGISTRO,Genéricos e Similares,Finalização,56
66645129,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,3
66645129,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,48
66645129,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,0
66645129,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,5
67618087,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,36
67618087,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,0
67618087,RENOVAÇÃO,"Genéricos, Novos e Similares",Outras Etapas,315
71805150,PÓS-REGISTRO,Específicos - Menor complexidade,Fila de Análise,1
71805150,PÓS-REGISTRO,Específicos - Menor complexidade,Finalização,33
71805150,PÓS-REGISTRO,Específicos - Menor complexidade,Análise em Andamento,0
71805150,PÓS-REGISTRO,Específicos - Menor complexidade,Finalização,7
