STATUS,NOME PRODUTO,TIPO DE PETIÇÃO,ASSUNTO PETIÇÃO,Nº PROCESSO,PROTOCOLO,EXPEDIENTE,"SITUAÇÃO ANVISA
Encontra-se: ",FILA DE ANÁLISE / LISTA DE ANÁLISE,CATEGORIA MEDICAMENTO,ÁREA DE INTERESSE,FILA,SUBFILA,DATA DE PROTOCOLO,DATA DE DEFERIMENTO,PRAZO MAXIMO DECISAO FINAL ANVISA (PRAZO INICIAL),PRAZO MAXIMO DECISAO FINAL ANVISA (PRORROGAÇÃO),Últ Atualização,Últ. Posição,Data,Posição
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-07-05,260
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-07-12,247
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-07-19,239
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-07-26,239
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-08-02,224
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-08-09,215
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-08-16,210
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-08-23,201
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-08-30,171
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-09-06,156
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-09-13,139
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-09-20,137
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-09-27,133
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-10-04,104
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-10-11,87
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-10-18,43
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-10-25,43
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-11-01,43
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-11-08,21
Revalidação Automática,ATLANTIC PHARMA - CBPF,Renovação de Registro,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL",25351.143271/2016-12,20220.000004/0878-28,4226319/22-2,"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS",FILA DE ANÁLISE,CBPF,EMPRESAS,RENOVAÇÃO CBPF INTERNACIONAL,RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS,2022-05-30,,2023-05-30,2023-09-29,,,2022-11-15,21
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-07-04,20
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-07-11,15
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-07-18,15
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-07-25,14
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-08-01,14
Em análise do cumprimento de exigência,AZITROMICINA,Pós-registro,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,25351.280059/2008-88,202300000006098-68,0676398/23-7,"Situação atual: Em análise do cumprimento de exigência
Início: 08/11/2023

Situação atual: Em Exigência
Início: 14/09/2023

Status: Em análise 
Início: 18/08/2023
Encontra-se na: CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL",FILA DE ANÁLISE,GENÉRICO,MEDICAMENTO,ROTULAGEM E NOME COMERCIAL,ROTULAGEM E NOME COMERCIAL,2023-07-01,,2024-06-30,2024-10-30,,,2023-08-08,10
