Título da Página,Data de Publicação,Data de Modificação,URL Usada
Relatórios Periódicos de Avaliação Benefício-Risco - RPBR — Agência Nacional de Vigilância Sanitária - Anvisa,12/03/2021 08h43,2024-01-04 13:36:00,https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/farmacovigilancia/relatorios-periodicos-de-avaliacao-beneficio-risco-rpbr-1
Publicações sobre medicamentos — Agência Nacional de Vigilância Sanitária - Anvisa,22/10/2020 11h21,2024-01-03 14:18:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/publicacoes-sobre-medicamentos
Farmacopeia Brasileira — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2024-01-02 17:30:00,https://www.gov.br/anvisa/pt-br/assuntos/farmacopeia/farmacopeia-brasileira
Formulário de Fitoterápicos da Farmacopeia Brasileira — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2024-01-02 14:41:00,https://www.gov.br/anvisa/pt-br/assuntos/farmacopeia/formulario-fitoterapico
2023 — Agência Nacional de Vigilância Sanitária - Anvisa,28/12/2022 14h43,2023-12-21 09:52:00,https://www.gov.br/anvisa/pt-br/setorregulado/recursos-administrativos/2a-instancia/atas/2023
Notas técnicas — Agência Nacional de Vigilância Sanitária - Anvisa,06/11/2020 10h44,2023-12-19 10:56:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/cosmeticos/notas-tecnicas
2023 — Agência Nacional de Vigilância Sanitária - Anvisa,20/04/2023 09h48,2023-12-19 08:44:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/air/analises-de-impacto-regulatorio/2023
Pautas — Agência Nacional de Vigilância Sanitária - Anvisa,19/11/2020 08h58,2023-12-12 17:52:00,https://www.gov.br/anvisa/pt-br/composicao/diretoria-colegiada/reunioes-da-diretoria/pautas
2023 — Agência Nacional de Vigilância Sanitária - Anvisa,28/12/2022 14h42,2023-12-01 10:39:00,https://www.gov.br/anvisa/pt-br/setorregulado/recursos-administrativos/2a-instancia/pautas/2023-1
Publicações — Agência Nacional de Vigilância Sanitária - Anvisa,23/08/2023 16h48,2023-11-24 16:25:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/publicacoes-de-insumos-farmaceuticos
Publicações — Agência Nacional de Vigilância Sanitária - Anvisa,23/08/2023 16h48,2023-11-24 16:25:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/publicacoes-de-insumos-farmaceuticos
Medicamentos com risco de desabastecimento (Resolução CM-CMED nº 07/2022) — Agência Nacional de Vigilância Sanitária - Anvisa,29/06/2022 16h33,2023-11-09 13:10:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/cmed/risco-de-desabastecimento/medicamentos-com-risco-de-desabastecimento
Fluxo Regulatório de Assuntos de Atualização Periódica — Agência Nacional de Vigilância Sanitária - Anvisa,14/12/2022 16h11,2023-10-31 19:29:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/qualidade-regulatoria/fluxo-regulatorio-de-assuntos-de-atualizacao-periodica
Relatórios de ARR — Agência Nacional de Vigilância Sanitária - Anvisa,24/05/2022 16h42,2023-10-16 15:20:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/avaliacao-do-resultado-regulatorio/relatorios-de-arr-1
Outras publicações — Agência Nacional de Vigilância Sanitária - Anvisa,06/11/2020 09h41,2023-09-22 16:48:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/cosmeticos/publicacoes
Perguntas sobre rotulagem de medicamentos — Agência Nacional de Vigilância Sanitária - Anvisa,05/10/2020 09h29,2023-09-09 15:40:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/bulas-e-rotulos/perguntas-sobre-rotulagem-de-medicamentos?_authenticator=da63f188df3950618a35ef11daa4afa1c7db5bd4
Perguntas e respostas sobre bulas — Agência Nacional de Vigilância Sanitária - Anvisa,05/10/2020 09h19,2023-09-09 15:39:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/bulas-e-rotulos/perguntas-e-respostas-sobre-bulas?_authenticator=da63f188df3950618a35ef11daa4afa1c7db5bd4
Medicamentos Genéricos — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2023-09-09 06:48:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/genericos
Medicamentos Similares — Agência Nacional de Vigilância Sanitária - Anvisa,24/02/2021 11h26,2023-09-09 06:46:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/similares
Medicamentos Similares — Agência Nacional de Vigilância Sanitária - Anvisa,24/02/2021 11h26,2023-09-09 06:46:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/similares
"Bulas, Rótulos e Nome Comercial — Agência Nacional de Vigilância Sanitária - Anvisa",21/09/2020 00h00,2023-09-08 20:49:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/bulas-e-rotulos
Formulários — Agência Nacional de Vigilância Sanitária - Anvisa,02/03/2021 10h12,2023-07-26 11:17:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/medicamentos/formularios
Bioequivalência — Agência Nacional de Vigilância Sanitária - Anvisa,11/11/2020 12h27,2023-04-19 17:39:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/bioequivalencia
Informes — Agência Nacional de Vigilância Sanitária - Anvisa,27/10/2020 08h42,2023-04-17 20:23:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/cosmeticos/informes
Controlados — Agência Nacional de Vigilância Sanitária - Anvisa,03/10/2020 08h55,2023-04-14 15:53:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/controlados
Controlados — Agência Nacional de Vigilância Sanitária - Anvisa,03/10/2020 08h55,2023-04-14 15:53:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/controlados
Relatórios de atividades GGALI — Agência Nacional de Vigilância Sanitária - Anvisa,14/12/2020 13h51,2023-03-31 11:51:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/alimentos/relatorios-de-atividades-ggali
Outras publicações — Agência Nacional de Vigilância Sanitária - Anvisa,25/03/2022 12h32,2023-03-27 09:28:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/sistema-nacional-de-vigilancia-sanitaria/outras-publicacoes
Projetos regulatórios 2021-2023 — Agência Nacional de Vigilância Sanitária - Anvisa,20/05/2021 11h13,2023-03-20 10:23:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/agenda-regulatoria/agenda-2021-2023/projetos-regulatorios
Pareceres — Agência Nacional de Vigilância Sanitária - Anvisa,26/10/2020 17h27,2023-03-15 20:57:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/cosmeticos/pareceres
Avaliação de Resultado Regulatório — Agência Nacional de Vigilância Sanitária - Anvisa,18/05/2022 16h40,2023-02-15 14:01:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/avaliacao-do-resultado-regulatorio
Cadastramento de Insumo Farmacêutico Ativo — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2023-02-03 10:09:00,https://www.gov.br/anvisa/pt-br/acessoainformacao/perguntasfrequentes/medicamentos/insumos-farmaceuticos/cadastramento
Saiba mais sobre Análise de Impacto Regulatório — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2023-01-26 18:43:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/air/saiba-mais
Fluxo Regulatório Geral — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2022-12-14 16:05:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/qualidade-regulatoria/qualidade-regulatoria
Formulário Nacional — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2022-05-10 14:11:00,https://www.gov.br/anvisa/pt-br/assuntos/farmacopeia/formulario-nacional
Produtos fronteira — Agência Nacional de Vigilância Sanitária - Anvisa,28/09/2020 21h18,2022-04-11 13:05:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/produtos-fronteira
Documentação Técnica — Agência Nacional de Vigilância Sanitária - Anvisa,14/10/2020 21h00,2022-04-07 15:08:00,https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/rastreabilidade/documentacao-tecnica
Documentação Técnica — Agência Nacional de Vigilância Sanitária - Anvisa,14/10/2020 21h00,2022-04-07 15:08:00,https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/rastreabilidade/documentacao-tecnica
Publicações de projetos — Agência Nacional de Vigilância Sanitária - Anvisa,07/12/2020 16h53,2021-10-26 10:25:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/sistema-nacional-de-vigilancia-sanitaria/publicacoes-de-projetos
Plano de Serialização — Agência Nacional de Vigilância Sanitária - Anvisa,05/11/2020 10h16,2021-10-06 15:35:00,https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/rastreabilidade/plano-de-serializacao/plano
Legislação — Agência Nacional de Vigilância Sanitária - Anvisa,05/10/2020 11h42,2021-08-25 17:45:00,https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/rastreabilidade/legislacao
Manuais e orientações — Agência Nacional de Vigilância Sanitária - Anvisa,12/01/2021 14h59,2021-06-29 12:08:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/alimentos/manuais-guias-e-orientacoes
Notas técnicas — Agência Nacional de Vigilância Sanitária - Anvisa,04/11/2020 14h15,2021-05-27 14:10:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/insumos/notas-tecnicas
Regulamentação — Agência Nacional de Vigilância Sanitária - Anvisa,23/10/2020 09h20,2021-04-15 09:47:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/regulamentacao
Carga administrativa — Agência Nacional de Vigilância Sanitária - Anvisa,21/10/2020 15h11,2021-03-18 09:32:00,https://www.gov.br/anvisa/pt-br/assuntos/regulamentacao/carga-administrativa
Equivalência farmacêutica — Agência Nacional de Vigilância Sanitária - Anvisa,11/12/2020 17h05,2020-12-11 17:30:00,https://www.gov.br/anvisa/pt-br/centraisdeconteudo/publicacoes/medicamentos/equivalencia-farmaceutica
Rotulagem — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2020-11-03 11:33:00,https://www.gov.br/anvisa/pt-br/setorregulado/regularizacao/cosmeticos/rotulagem
Informes — Agência Nacional de Vigilância Sanitária - Anvisa,16/10/2020 11h48,2020-10-16 11:51:00,https://www.gov.br/anvisa/pt-br/assuntos/alimentos/informes
Bulas padrão de medicamentos específicos — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2020-10-05 09:03:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/bulas-e-rotulos/especificos/especificos
Bulas padrão de medicamentos fitoterápicos — Agência Nacional de Vigilância Sanitária - Anvisa,21/09/2020 00h00,2020-10-05 09:00:00,https://www.gov.br/anvisa/pt-br/assuntos/medicamentos/bulas-e-rotulos/fitoterapicos/fitoterapicos
