URL,Expediente,Processo,DataExpediente,Assunto,EncontraSeNa,SituacaoAtual,DataInicio
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351597103201481/,0400619/24-5,25351.597103/2014-81,01/04/2024,1337 - MEDICAMENTO NOVO - Solicitação de Correção de Dados na Base,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                                Desde 01/04/2024",Distribuído para a área responsável,01/04/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351016790200851/,1309150/23-1,25351.016790/2008-51,23/11/2023,11818 - Relatório Periódico de Avaliação Benefício-Risco,"GFARM - GERÊNCIA DE FARMACOVIGILÂNCIA
                                Desde 23/11/2023",Distribuído para a área responsável,23/11/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351743973201904/,0576539/24-1,25351.743973/2019-04,02/05/2024,11740 - RDC 73/2016 - SIMILAR - Mudança do DIFA sem CADIFA (implementação imediata),"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 02/05/2024",Distribuído para a área responsável,02/05/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351000252201817/,0307327/24-8,25351.000252/2018-17,13/03/2024,10452 - GENÉRICO - Notificação de Alteração de Texto de Bula – publicação no Bulário RDC 60/12,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                                Desde 13/03/2024",Aditado ao processo,
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351760446201453/,1189903/23-7,25351.760446/2014-53,30/10/2023,11818 - Relatório Periódico de Avaliação Benefício-Risco,"GFARM - GERÊNCIA DE FARMACOVIGILÂNCIA
                                Desde 30/10/2023",Distribuído para a área responsável,30/10/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351153546201921/,0673347/23-6,25351.153546/2019-21,30/06/2023,10292 - GENÉRICO - Notificação de alteração de rotulagem,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                                Desde 30/06/2023",Aguardando análise,30/06/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351562402202187/,0236323/24-2,25351.562402/2021-87,28/02/2024,10241 - GENÉRICO - Histórico de Mudanças do Produto com inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 28/02/2024",Aditado ao processo,28/02/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351261195201257/,0984193/23-8,25351.261195/2012-57,15/09/2023,12269 - Notificação da alteração de rotulagem,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                                Desde 15/09/2023",Distribuído para a área responsável,15/09/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351553384201288/,0673916/23-4,25351.553384/2012-88,30/06/2023,10292 - GENÉRICO - Notificação de alteração de rotulagem,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                                Desde 30/06/2023",Aguardando análise,30/06/2023
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351187074201281/,0538465/24-6,25351.187074/2012-81,24/04/2024,10434 - GENÉRICO - Histórico de Mudanças do Produto sem inclusão de modificação exclusiva HMP,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                                Desde 24/04/2024",Aditado ao processo,24/04/2024
https://consultas.anvisa.gov.br/#/documentos/tecnicos/25351261195201257/,0984193/23-8,25351.261195/2012-57,15/09/2023,12269 - Notificação da alteração de rotulagem,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                                Desde 15/09/2023",Distribuído para a área responsável,15/09/2023
