NOME_PRODUTO,EMPRESA_DETENTORA_REGISTRO,#NUM_EXPEDIENTE_PETICAO,NUM_PROCESSO_PETICAO,S_N_PETICAO_PRIMARIA,COD_ASSUNTO_PETICAO,DESC_ASSUNTO_PETICAO,DATA_SITUACAO_ATUAL_PETICAO,DESC_SITUACAO_ATUAL_PETICAO,DESC_TIPO_DOCUMENTO,DESC_AREA_INTERESSE,DESC_FILA_ANALISE,DESC_SUB_FILA_LISTA_ANALISE,DESC_GRUPO_ETAPA_CICLO_ANALISE,DATA_INI_OCORRENCIA_GRP_ETAPA,DATA_FIM_OCORRENCIA_GRP_ETAPA,TEMPO
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,1167063,25351022968,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,07/30/2007 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2007-07-23,2007-07-23,0
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,1167063,25351022968,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,07/30/2007 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2007-07-23,2007-07-30,7
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,2005-12-22,2006-03-18,86
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2006-03-18,2006-03-22,4
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Exigência,2006-03-22,2006-04-25,34
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,2006-04-25,2006-04-25,0
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2006-04-25,2006-09-12,140
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2006-09-12,2006-09-25,13
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2006-09-25,2006-09-25,0
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise de Cumprimento de Exigência,2006-09-25,2006-09-25,0
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,1183065,25351024345,N,106,Inclusão de nova apresentação comercial,10/02/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2006-09-25,2006-10-02,7
GINKAN,17115437000173 - LABORATÓRIO GLOBO SA,1199061,25351022967,N,1810,MEDICAMENTO FITOTERÁPICO - Cancelamento do registro da apresentação,01/30/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Fila de Análise,2005-12-22,2006-01-04,13
GINKAN,17115437000173 - LABORATÓRIO GLOBO SA,1199061,25351022967,N,1810,MEDICAMENTO FITOTERÁPICO - Cancelamento do registro da apresentação,01/30/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Análise em Andamento,2006-01-04,2006-01-06,2
GINKAN,17115437000173 - LABORATÓRIO GLOBO SA,1199061,25351022967,N,1810,MEDICAMENTO FITOTERÁPICO - Cancelamento do registro da apresentação,01/30/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,Fitoterápicos - Menor complexidade,Finalização,2006-01-06,2006-01-30,24
PIROFEBRAN,17115437000173 - LABORATÓRIO GLOBO SA,1872064,25992009628,N,190,Retificação de Publicação - ANVISA,05/22/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Fila de Análise,2005-12-23,2006-04-24,122
PIROFEBRAN,17115437000173 - LABORATÓRIO GLOBO SA,1872064,25992009628,N,190,Retificação de Publicação - ANVISA,05/22/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Análise em Andamento,2006-04-24,2006-05-11,17
PIROFEBRAN,17115437000173 - LABORATÓRIO GLOBO SA,1872064,25992009628,N,190,Retificação de Publicação - ANVISA,05/22/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Administrativo",Finalização,2006-05-11,2006-05-22,11
IBUGLOBO,17115437000173 - LABORATÓRIO GLOBO SA,2443231,25351001516,S,10490,SIMILAR - Registro de Produto - CLONE,01/30/2023 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Clones,Fila de Análise,2023-01-03,2023-01-20,17
IBUGLOBO,17115437000173 - LABORATÓRIO GLOBO SA,2443231,25351001516,S,10490,SIMILAR - Registro de Produto - CLONE,01/30/2023 00:00:00,Publicado deferimento,Processo,Medicamento,REGISTRO,Clones,Finalização,2023-01-20,2023-01-30,10
OMEPRAZOL,17115437000173 - LABORATÓRIO GLOBO SA,3324123,25351129074,N,10252,GENÉRICO - Alteração de local de fabricação do medicamento de liberação modificada com prazo de análise,04/02/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,2011-12-22,2012-03-12,81
OMEPRAZOL,17115437000173 - LABORATÓRIO GLOBO SA,3324123,25351129074,N,10252,GENÉRICO - Alteração de local de fabricação do medicamento de liberação modificada com prazo de análise,04/02/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,2012-03-12,2012-03-21,9
OMEPRAZOL,17115437000173 - LABORATÓRIO GLOBO SA,3324123,25351129074,N,10252,GENÉRICO - Alteração de local de fabricação do medicamento de liberação modificada com prazo de análise,04/02/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2012-03-21,2012-04-02,12
LAMPRAL,17115437000173 - LABORATÓRIO GLOBO SA,3723131,25351012061,N,1621,SIMILAR - Cancelamento de Registro do Medicamento,03/25/2013 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,2012-12-27,2013-03-04,67
LAMPRAL,17115437000173 - LABORATÓRIO GLOBO SA,3723131,25351012061,N,1621,SIMILAR - Cancelamento de Registro do Medicamento,03/25/2013 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2013-03-04,2013-03-19,15
LAMPRAL,17115437000173 - LABORATÓRIO GLOBO SA,3723131,25351012061,N,1621,SIMILAR - Cancelamento de Registro do Medicamento,03/25/2013 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2013-03-19,2013-03-19,0
LAMPRAL,17115437000173 - LABORATÓRIO GLOBO SA,3723131,25351012061,N,1621,SIMILAR - Cancelamento de Registro do Medicamento,03/25/2013 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2013-03-19,2013-03-25,6
CLORIDRATO DE HIDROXIZINE,17115437000173 - LABORATÓRIO GLOBO SA,5422144,25351408222,N,1413,GENERICO - Inclusão de Nova Apresentação Comercial,03/06/2014 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,2013-12-23,2014-02-11,50
CLORIDRATO DE HIDROXIZINE,17115437000173 - LABORATÓRIO GLOBO SA,5422144,25351408222,N,1413,GENERICO - Inclusão de Nova Apresentação Comercial,03/06/2014 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2014-02-11,2014-02-12,1
CLORIDRATO DE HIDROXIZINE,17115437000173 - LABORATÓRIO GLOBO SA,5422144,25351408222,N,1413,GENERICO - Inclusão de Nova Apresentação Comercial,03/06/2014 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2014-02-12,2014-03-05,21
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5698127,25000001556,N,10206,SIMILAR - Alteração maior de excipiente,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,2011-12-16,2012-02-09,55
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5698127,25000001556,N,10206,SIMILAR - Alteração maior de excipiente,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2012-02-09,2012-02-29,20
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5698127,25000001556,N,10206,SIMILAR - Alteração maior de excipiente,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,2012-02-29,2012-02-29,0
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5698127,25000001556,N,10206,SIMILAR - Alteração maior de excipiente,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2012-02-29,2012-03-12,12
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5699125,25000001556,N,1628,SIMILAR -  Alteração de local de fabricação do fármaco,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,2011-12-16,2012-02-09,55
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5699125,25000001556,N,1628,SIMILAR -  Alteração de local de fabricação do fármaco,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2012-02-09,2012-02-29,20
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5699125,25000001556,N,1628,SIMILAR -  Alteração de local de fabricação do fármaco,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,2012-02-29,2012-02-29,0
PIROXAN,17115437000173 - LABORATÓRIO GLOBO SA,5699125,25000001556,N,1628,SIMILAR -  Alteração de local de fabricação do fármaco,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2012-02-29,2012-03-12,12
ACETITOL,17115437000173 - LABORATÓRIO GLOBO SA,6131060,25351022971,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,03/13/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Fila de Análise,2005-12-28,2006-02-13,47
ACETITOL,17115437000173 - LABORATÓRIO GLOBO SA,6131060,25351022971,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,03/13/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2006-02-13,2006-03-06,21
ACETITOL,17115437000173 - LABORATÓRIO GLOBO SA,6131060,25351022971,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,03/13/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Análise em Andamento,2006-03-06,2006-03-06,0
ACETITOL,17115437000173 - LABORATÓRIO GLOBO SA,6131060,25351022971,N,194,Cancelamento de Registro da Apresentação do Medicamento a Pedido,03/13/2006 00:00:00,Publicado deferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Menor complexidade",Finalização,2006-03-06,2006-03-13,7
HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + DIMETICONA,17115437000173 - LABORATÓRIO GLOBO SA,7299041,25000016386,N,104,Alteração de excipiente,04/15/2005 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,2001-10-01,2004-01-14,835
HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + DIMETICONA,17115437000173 - LABORATÓRIO GLOBO SA,7299041,25000016386,N,104,Alteração de excipiente,04/15/2005 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Análise em Andamento,2004-01-14,2004-09-17,247
HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + DIMETICONA,17115437000173 - LABORATÓRIO GLOBO SA,7299041,25000016386,N,104,Alteração de excipiente,04/15/2005 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Finalização,2004-09-17,2005-04-15,210
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,2005-12-30,2006-01-20,21
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,2006-01-20,2006-03-03,42
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2006-03-03,2006-05-18,76
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2006-05-18,2006-05-18,0
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2006-05-18,2006-05-25,7
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,2006-05-25,2006-06-08,14
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2006-06-08,2006-06-08,0
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2006-06-08,2006-08-15,68
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,2006-08-15,2006-08-30,15
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2006-08-30,2006-08-30,0
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2006-08-30,2006-08-30,0
PRESSOCORD,17115437000173 - LABORATÓRIO GLOBO SA,7602063,25351025711,N,142,SIMILAR - Renovação de Registro de Medicamento,09/11/2006 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,2006-08-30,2006-09-11,12
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,2010-11-27,2011-06-13,198
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2011-06-13,2012-01-13,214
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,2012-01-13,2012-04-17,95
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2012-04-17,2012-04-17,0
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2012-04-17,2013-02-25,314
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,2013-02-25,2013-03-12,15
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2013-03-12,2013-03-12,0
CIPROFLOXATRIN,17115437000173 - LABORATÓRIO GLOBO SA,8291111,25351022968,N,142,SIMILAR - Renovação de Registro de Medicamento,03/18/2013 00:00:00,Publicado indeferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,2013-03-12,2013-03-18,6
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Fila de Análise,2011-12-27,2012-06-15,171
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2012-06-15,2014-08-12,788
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,2014-08-12,2014-11-14,94
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2014-11-14,2014-11-19,5
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2014-11-19,2015-06-01,194
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2015-06-01,2015-06-09,8
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise em Andamento,2015-06-09,2015-06-11,2
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Exigência,2015-06-11,2015-10-07,118
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Análise de Cumprimento de Exigência,2015-10-07,2015-12-09,63
SCAFLOGIN,17115437000173 - LABORATÓRIO GLOBO SA,9434120,25351006433,N,142,SIMILAR - Renovação de Registro de Medicamento,01/11/2016 00:00:00,Publicado deferimento,Petição,Medicamento,RENOVAÇÃO,"Genéricos, Novos e Similares",Finalização,2015-12-09,2016-01-11,33
ANGITENS,17115437000173 - LABORATÓRIO GLOBO SA,9850127,25351024345,N,1978,SIMILAR - Inclusão de local de fabricação do fármaco,03/12/2012 00:00:00,Publicado indeferimento,Petição,Medicamento,PÓS-REGISTRO,"Genéricos, Novos e Similares - Maior complexidade",Fila de Análise,2011-12-26,2012-02-14,50
